Region,NewCases
Москва,2699
Московская область,903
Красноярский край,504
Санкт-Петербург,455
Нижегородская область,257
Ростовская область,139
Ярославская область,135
Свердловская область,135
Калужская область,118
Брянская область,110
Тульская область,98
Самарская область,98
Рязанская область,92
Саратовская область,92
Краснодарский край,91
Республика Дагестан,90
Республика Башкортостан,88
Тамбовская область,85
Волгоградская область,84
Курская область,82
Липецкая область,79
Новосибирская область,77
Ленинградская область,75
Республика Татарстан,75
Челябинская область,74
Чувашская Республика,73
Республика Северная Осетия,72
Пензенская область,72
Белгородская область,67
Владимирская область,66
Кабардино-Балкарская Республика,66
Омская область,65
Республика Адыгея,64
Ульяновская область,64
Ханты-Мансийский АО,63
Смоленская область,60
Ставропольский край,59
Республика Тыва,56
Астраханская область,55
Хабаровский край,55
Пермский край,53
Орловская область,49
Иркутская область,48
Ивановская область,47
Республика Саха (Якутия),46
Республика Ингушетия,44
Кировская область,44
Приморский край,44
Оренбургская область,42
Республика Бурятия,42
Тюменская область,40
Алтайский край,40
Республика Марий Эл,37
Республика Мордовия,34
Тверская область,33
Калининградская область,32
Ямало-Ненецкий АО,32
Мурманская область,30
Амурская область,30
Республика Хакасия,28
Архангельская область,25
Вологодская область,25
Республика Калмыкия,23
Камчатский край,21
Воронежская область,20
Забайкальский край,20
Чеченская Республика,19
Костромская область,16
Республика Коми,12
Карачаево-Черкесская Республика,12
Томская область,12
Новгородская область,10
Псковская область,10
Еврейская АО,10
Кемеровская область,9
Республика Карелия,8
Удмуртская Республика,6
Магаданская область,5
Республика Крым,4
Севастополь,4
Курганская область,3
Ненецкий АО,1
Республика Алтай,1
Сахалинская область,1
