Region,NewCases
Москва,3238
Московская область,921
Санкт-Петербург,425
Нижегородская область,279
Свердловская область,130
Саратовская область,117
Брянская область,115
Калужская область,109
Красноярский край,107
Ульяновская область,106
Ярославская область,103
Владимирская область,99
Рязанская область,94
Краснодарский край,94
Республика Башкортостан,94
Республика Дагестан,89
Ростовская область,87
Чувашская Республика,87
Ханты-Мансийский АО,86
Челябинская область,85
Тульская область,84
Тамбовская область,82
Республика Татарстан,80
Курская область,79
Республика Северная Осетия,75
Иркутская область,75
Пензенская область,71
Новосибирская область,71
Приморский край,71
Белгородская область,70
Ленинградская область,70
Орловская область,68
Самарская область,66
Кабардино-Балкарская Республика,65
Ставропольский край,65
Волгоградская область,65
Омская область,65
Ямало-Ненецкий АО,59
Смоленская область,56
Республика Бурятия,56
Липецкая область,54
Республика Марий Эл,51
Хабаровский край,50
Пермский край,49
Ивановская область,46
Тюменская область,46
Алтайский край,45
Воронежская область,44
Республика Саха (Якутия),41
Забайкальский край,40
Республика Коми,37
Астраханская область,36
Республика Ингушетия,35
Оренбургская область,34
Республика Мордовия,33
Архангельская область,32
Республика Адыгея,32
Республика Тыва,30
Республика Калмыкия,28
Тверская область,27
Калининградская область,26
Республика Хакасия,24
Вологодская область,23
Чеченская Республика,23
Новгородская область,21
Псковская область,19
Томская область,18
Камчатский край,18
Амурская область,16
Карачаево-Черкесская Республика,15
Мурманская область,12
Костромская область,10
Республика Карелия,10
Республика Крым,9
Курганская область,8
Кировская область,7
Кемеровская область,7
Удмуртская Республика,5
Республика Алтай,3
Магаданская область,3
Севастополь,1
