Region,NewCases
Москва,3545
Московская область,898
Санкт-Петербург,453
Нижегородская область,260
Свердловская область,138
Ростовская область,131
Калужская область,114
Брянская область,112
Ярославская область,109
Саратовская область,109
Иркутская область,97
Ульяновская область,96
Челябинская область,96
Республика Дагестан,93
Краснодарский край,93
Тульская область,92
Республика Башкортостан,92
Рязанская область,91
Республика Татарстан,88
Волгоградская область,86
Тамбовская область,85
Владимирская область,83
Ленинградская область,81
Курская область,80
Республика Северная Осетия,77
Чувашская Республика,76
Новосибирская область,76
Пензенская область,73
Архангельская область,72
Ставропольский край,70
Белгородская область,69
Красноярский край,69
Самарская область,65
Приморский край,63
Кабардино-Балкарская Республика,62
Липецкая область,58
Ямало-Ненецкий АО,58
Ханты-Мансийский АО,56
Омская область,53
Пермский край,52
Республика Тыва,52
Хабаровский край,52
Воронежская область,51
Смоленская область,51
Республика Марий Эл,50
Республика Ингушетия,46
Тюменская область,46
Забайкальский край,45
Республика Саха (Якутия),45
Алтайский край,44
Республика Коми,39
Оренбургская область,38
Астраханская область,34
Республика Мордовия,34
Новгородская область,33
Орловская область,32
Калининградская область,32
Республика Адыгея,31
Псковская область,27
Республика Бурятия,25
Республика Хакасия,25
Вологодская область,23
Ивановская область,22
Чеченская Республика,20
Камчатский край,20
Тверская область,19
Мурманская область,18
Томская область,16
Костромская область,13
Республика Крым,13
Кировская область,12
Карачаево-Черкесская Республика,11
Удмуртская Республика,11
Курганская область,11
Амурская область,9
Республика Карелия,8
Магаданская область,7
Сахалинская область,6
Еврейская АО,6
Кемеровская область,5
Севастополь,4
Ненецкий АО,3
Республика Алтай,3
