Region,NewCases
Москва,2988
Московская область,824
Санкт-Петербург,389
Нижегородская область,202
Красноярский край,150
Ростовская область,138
Свердловская область,135
Калужская область,127
Пензенская область,110
Республика Дагестан,109
Брянская область,105
Ярославская область,103
Рязанская область,94
Краснодарский край,92
Тульская область,91
Республика Башкортостан,90
Чувашская Республика,90
Волгоградская область,89
Ямало-Ненецкий АО,87
Саратовская область,84
Тамбовская область,83
Иркутская область,83
Белгородская область,82
Курская область,81
Челябинская область,80
Ханты-Мансийский АО,80
Республика Саха (Якутия),80
Республика Тыва,79
Новосибирская область,79
Владимирская область,77
Республика Татарстан,75
Самарская область,74
Алтайский край,74
Омская область,74
Кабардино-Балкарская Республика,71
Кировская область,70
Ульяновская область,70
Республика Северная Осетия,69
Хабаровский край,65
Липецкая область,64
Воронежская область,55
Ленинградская область,54
Смоленская область,53
Мурманская область,53
Ставропольский край,53
Тюменская область,53
Пермский край,51
Ивановская область,48
Республика Бурятия,48
Приморский край,47
Астраханская область,45
Оренбургская область,45
Республика Ингушетия,44
Калининградская область,41
Тверская область,39
Забайкальский край,38
Республика Марий Эл,37
Республика Мордовия,36
Республика Коми,35
Вологодская область,34
Республика Калмыкия,34
Орловская область,32
Архангельская область,30
Республика Адыгея,30
Республика Хакасия,23
Амурская область,23
Новгородская область,22
Томская область,21
Чеченская Республика,20
Псковская область,19
Курганская область,19
Камчатский край,18
Республика Крым,15
Удмуртская Республика,14
Костромская область,13
Кемеровская область,12
Карачаево-Черкесская Республика,11
Республика Карелия,8
Республика Алтай,4
Сахалинская область,4
Магаданская область,3
Ненецкий АО,1
Еврейская АО,1
Севастополь,1
