LocationName,Confirmed,New,Recovered,Deaths
Москва,195017,1956,102714,2919
Московская область,44232,754,11462,567
Санкт-Петербург,18509,340,7759,377
Нижегородская область,12137,317,4837,136
Свердловская область,7419,240,3239,41
Ростовская область,6166,201,2310,47
Республика Дагестан,5858,115,4562,303
Красноярский край,5301,165,1494,49
Тульская область,4620,115,2434,49
Калужская область,4511,80,2097,36
Краснодарский край,4399,87,3289,43
Брянская область,4364,95,2917,31
Рязанская область,4013,73,1448,10
Республика Башкортостан,3928,96,1437,18
Волгоградская область,3913,119,1401,23
Саратовская область,3763,112,1547,36
Ярославская область,3646,70,1176,15
Челябинская область,3614,115,1721,28
Республика Татарстан,3558,54,3477,10
Новосибирская область,3546,105,1369,41
Мурманская область,3530,58,2477,7
Курская область,3501,76,1802,16
Республика Чувашия,3475,80,1625,16
Тамбовская область,3439,68,1517,8
Кабардино-Балкарская Республика,3348,76,1625,31
Ханты-Мансийский АО,3346,115,1126,20
Республика Северная Осетия — Алания,3283,42,3066,57
Ленинградская область,3188,51,2154,18
Ульяновская область,3168,94,954,14
Самарская область,3114,88,1425,27
Владимирская область,3089,63,1198,30
Ставропольский край,3079,89,1470,60
Смоленская область,3035,112,1101,42
Пензенская область,2943,98,2406,26
Орловская область,2870,110,1464,32
Архангельская область,2868,122,853,9
Белгородская область,2840,71,1337,27
Воронежская область,2837,139,1692,16
Иркутская область,2792,179,709,16
Ивановская область,2705,128,1064,22
Ямало-Ненецкий автономный округ,2694,73,1429,11
Липецкая область,2577,61,994,8
Хабаровский край,2537,69,1301,17
Республика Саха (Якутия),2531,78,1311,15
Приморский край,2375,62,1444,23
Республика Ингушетия,2342,35,1505,61
Оренбургская область,2331,64,1636,8
Алтайский край,2319,64,1096,14
Астраханская область,2293,60,1263,22
Республика Мордовия,2185,47,1123,18
Кировская область,2182,61,1186,20
Пермский край,2135,68,1370,28
Республика Марий Эл,2061,42,1718,15
Тверская область,2055,93,1422,41
Тюменская область,1908,35,1057,12
Республика Бурятия,1785,52,1058,11
Калининградская область,1776,40,779,24
Омская область,1718,42,684,18
Новгородская область,1676,42,438,9
Республика Тыва,1607,118,267,2
Карачаево-Черкесская Республика,1580,75,418,8
Республика Коми,1564,46,885,26
Забайкальский край,1471,73,837,27
Чеченская Республика,1345,19,990,14
Псковская область,1232,69,437,12
Республика Калмыкия,1168,19,624,16
Республика Хакасия,1128,17,757,10
Камчатский край,1125,40,306,10
Вологодская область,1084,28,532,11
Республика Адыгея,1025,30,577,10
Удмуртская Республика,936,32,467,12
Томская область,922,54,440,11
Костромская область,901,13,485,12
Кемеровская область,721,36,316,7
Амурская область,702,45,252,5
Республика Карелия,614,41,224,2
Республика Крым,424,11,314,5
Еврейская автономная область,343,7,249,4
Магаданская область,327,14,208,3
Курганская область,288,8,180,0
Сахалинская область,188,18,71,0
Севастополь,176,2,145,3
Республика Алтай,172,9,100,0
Чукотский автономный округ,106,4,65,1
Ненецкий автономный округ,80,0,16,0
